,标题,原文链接
1,郑州旅游职业学院智慧校园管理服务提升项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1340382&channelCode=H610102
2,郑州旅游职业学院智慧校园数据治理项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1333930&channelCode=H610102
3,安阳师范学院智慧校园能源管理平台项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1333871&channelCode=H600102
6,郑州旅游职业学院三维可视化智慧校园管理平台项目中标结果公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1332423&channelCode=H610102
16,南阳市实验中学关于南阳市实验中学智慧校园建设（一期）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1327837&channelCode=H740602
20,安阳师范学院智慧校园基础平台项目中标结果公告,http://www.hngp.gov.cn/henan/content?infoId=1316535&channelCode=H600102
23,洛阳职业技术学院智慧校园数据治理与共享交换服务平台项目—中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1315898&channelCode=H640102
28,河南省商务中等职业学校智慧校园可视化实景分析管控平台（二期）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1313152&channelCode=H600102
30,河南师范大学2022年中央财政智慧教学环境建设(一期)项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1312273&channelCode=H600102
32,河南工业贸易职业学院双向互动视频教学系统设施建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1303261&channelCode=H600102
33,驻马店幼儿师范高等专科学校关于改善办学条件、提升教学质量项目（第四期）-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1303153&channelCode=H780602
35,三门峡职业技术学院智能制造学院工业机械及智能传感技术实训中心建设项目（三次）-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1289543&channelCode=H730202
36,河南省浚县第一中学智慧校园系统集成项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1289901&channelCode=H670202
37,鹤壁职业技术学院校院（鹤壁市妇幼保健院）共建妇幼健康促进培训基地项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1288563&channelCode=H670202
38,洛阳职业技术学院汽车整车故障诊断技术实训中心项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1288332&channelCode=H640102
40,濮阳医学高等专科学校智慧校园基础平台建设项目（二次）-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1287957&channelCode=H700202
41,清丰县春晖路小学教学办公设备购置-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1287539&channelCode=E000503
42,原阳县第五初级中学教学设备采购项目（二次）-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1278970&channelCode=H680202
43,洛阳职业技术学院宠物与人类健康工程研究中心 省级培育平台项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1280014&channelCode=H640102
44,南阳市第十三中学校文化路校区物理实验室装备项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1279699&channelCode=H740602
46,河南省南召卫生职业中等专业学校附属医院提升改造医疗设备采购项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1277388&channelCode=H740602
47,河南省驻马店财经学校2022年双高工程“整车检测一体化实训中心2”、“汽车车身电气实训中心2”项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1276883&channelCode=H600102
48,河南省驻马店财经学校2022双高工程“幼儿保育保健实训室”、“舞蹈表演专业多功能排练厅采购”项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1277888&channelCode=H600102
51,郑州旅游职业学院市场营销数字可视化云实训中心项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1276264&channelCode=H610102
52,郑州市科技工业学校-城市轨道交通运营管理仿真实训项目中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1275928&channelCode=H610102
53,洛阳职业技术学院信创电子教室与实训平台项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1275877&channelCode=H640102
54,许昌学院数字化实践教学中心（二期）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1274957&channelCode=H600102
56,洛阳职业技术学院教师综合素质提升工程调整项目（一标段智慧教室）中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1272821&channelCode=H640102
58,郑州市科技工业学校-机器人实训室建设项目中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1271833&channelCode=H610102
59,洛阳铁路信息工程学校PLC理实一体化教室建设项目采购意向书项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1272147&channelCode=H600102
60,清丰县晓月路小学教育教学设备采购-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1271141&channelCode=E000503
63,焦作师范高等专科学校电子商务实训中心改造项目-（一包）（二次）中标公告,http://www.hngp.gov.cn/henan/content?infoId=1262323&channelCode=H690202
64,河南工业大学数控实习理实一体化教室建设项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1259199&channelCode=H600102
65,南阳医专一附院人工心肺机含离心泵头医疗设备采购项目（二次）中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1259145&channelCode=H740604
66,郑州信息科技职业学院智能工厂虚拟实训中心项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1256413&channelCode=H600102
67,驻马店市第二初级中学北区功能教室设备采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1256966&channelCode=H780602
68,郑州市管城回族区回民第一小学管城回族区教育局所属部分学校录播教室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1255856&channelCode=D280202
69,【平公资采2022967号】平顶山学院智慧校园综合业务服务系统（二期）项目(二次）-中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1253482&channelCode=H650202
70,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年人工智能实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1248706&channelCode=H610102
71,河南建筑职业技术学院BIM工程技术应用中心（一期）项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1249865&channelCode=H600102
72,南阳理工学院2021年智慧教室建设项目（三次）中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1248410&channelCode=H740602
73,河南财政金融学院校园网络安全提升项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1247582&channelCode=H600102
74,河南职业技术学院智能化制造技术虚拟仿真实训基地项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1247252&channelCode=H600102
76,新乡市第十一中学多功能报告厅升级改造项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1244983&channelCode=H680204
77,郑州市第一〇七高级中学开办费-计算机教室云桌面终端（224点位）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1244862&channelCode=H610102
79,新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）新乡市红旗区洪门镇公村小学教学设备采购项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1244573&channelCode=H680202
80,河南科技大学“中国道路”虚拟仿真平台项目和高性能计算机项目采购项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1243871&channelCode=H600102
81,三门峡职业技术学院智能制造学院电工电子实训中心提升改造项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1243193&channelCode=H730202
84,河南农业大学农学院小麦玉米精量播种机项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1242473&channelCode=H600102
86,新乡市牧野区西干道小学采购录播教室升级、网络广播及计算机教室项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1242343&channelCode=H680202
87,新乡学院应用光学及激光原理教学实验室项目（二次）-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1241708&channelCode=H680202
88,郑州市第四十四高级中学2022年开办费——报告厅设设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1241465&channelCode=H610102
89,郑州市第四十四高级中学2022年开办费——礼堂设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1241466&channelCode=H610102
90,郑州市第四十四高级中学2022年开办费——会议室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1241077&channelCode=H610102
91,郑州铁路职业技术学院大学生科技创新中心二期项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1241497&channelCode=H600102
94,河南艺术职业学院-图书馆智能化建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1238276&channelCode=H600102
95,河南省南阳工业学校省“高水平专业群”建设（三期）项目-中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1236487&channelCode=H740602
96,郑州市第一〇三高级中学开办费-校园广播及一卡通系统项目中标结果公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1235498&channelCode=H610102
97,黄淮学院2022005—多媒体教室改造（货物）-中标公告,http://zhumadian.hngp.gov.cn/zhumadian/content?infoId=1234708&channelCode=H780602
98,洛阳市孟津区第一高级中学新区高中教育教学设备采购项目（第一批）第五标段二次中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1234653&channelCode=D690503
100,郑州市第一〇三高级中学开办费-化学创新实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234514&channelCode=H610102
101,郑州市第一〇三高级中学开办费-生物创新竞赛实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234511&channelCode=H610102
102,安阳幼儿师范高等专科学校校园高速网络提升改造项目（二次）中标公告,http://anyang.hngp.gov.cn/anyang/content?infoId=1234105&channelCode=H660202
103,河南科技学院新东校区智慧教室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1233302&channelCode=H600102
106,河南警察学院侦查学模拟侦查实验中心(一期)建设项目(二次)中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230887&channelCode=H600102
107,新乡学院图书馆大楼LED显示系统设备音视频设备项目-中标公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1229972&channelCode=H680202
